name, type, desc, file, note
src, alias, "source ~/.bashrc"                         , mac.sh, <-> 
snowsql, alias, '/Applications/SnowSQL.app/Contents/MacO..., mac.sh, <-> 
whatami, alias, 'ps -p $$'                                 , mac.sh, <-> 
syslog, alias, 'tail -f /var/log/system.log'              , mac.sh, <-> 
ipecho, alias, 'curl ipecho.net/plain ; echo'             , mac.sh, <-> 
myip, alias, "ifconfig en0 &#124; grep inet &#124; grep -v inet..., mac.sh, <-> 
whereami, alias, 'pwd ; ipecho'                             , mac.sh, <-> 
speed, alias, 'speedtest-cli'                            , mac.sh, <-> 
awake, alias, 'caffeinate &'                             , mac.sh, <-> 
decaf, alias, 'killall caffeinate'                       , mac.sh, <-> 
grep, alias, 'grep --color=auto'                        , mac.sh, <-> 
fgrep, alias, 'fgrep --color=auto'                       , mac.sh, <-> 
egrep, alias, 'egrep --color=auto'                       , mac.sh, <-> 
fix_brew_perms, alias, 'sudo chown -R $(whoami) $(brew --prefix..., mac.sh, <-> 
fix_all_perms, alias, 'sudo chown -R "$USER":admin /usr/local ..., mac.sh, <-> 
code-plugs, alias, """                                        , mac.sh, <-> 
hstr, alias, 'hstr'                                     , mac.sh, <-> 
json, alias, 'python -m json.tool'                      , mac.sh, <-> 
1pass, function, <what does 1pass do ?>, mac.sh, <->
awskeys, function, <what does awskeys do ?>, mac.sh, <->
chp, function, <what does chp do ?>, mac.sh, <->
console, function, <what does console do ?>, mac.sh, <->
mfa, function, <what does mfa do ?>, mac.sh, <->
pb, function, <what does pb do ?>, mac.sh, <->
update_terminal_cwd, function, <what does update_terminal_cwd do ?>, mac.sh, <->
